iter	Passed	Remaining
0	1	104
1	1	88
2	2	89
3	3	80
4	4	78
5	4	77
6	5	75
7	6	74
8	7	73
9	8	72
10	8	71
11	9	70
12	10	69
13	11	67
14	11	67
15	12	66
16	13	65
17	14	64
18	15	64
19	15	63
20	16	62
21	17	61
22	18	61
23	18	60
24	19	59
25	20	58
26	21	57
27	22	56
28	22	55
29	23	55
30	24	54
31	25	53
32	25	52
33	26	51
34	27	51
35	28	50
36	29	49
37	29	48
38	30	47
39	31	47
40	32	46
41	32	45
42	33	44
43	34	43
44	34	42
45	35	41
46	36	41
47	37	40
48	38	39
49	38	38
50	39	37
51	40	37
52	41	36
53	41	35
54	42	34
55	43	33
56	43	33
57	44	32
58	45	31
59	46	30
60	46	29
61	47	29
62	48	28
63	49	27
64	49	26
65	50	26
66	51	25
67	52	24
68	52	23
69	53	23
70	54	22
71	55	21
72	56	20
73	56	19
74	57	19
75	58	18
76	59	17
77	60	16
78	60	16
79	61	15
80	62	14
81	63	13
82	63	13
83	64	12
84	65	11
85	66	10
86	66	10
87	67	9
88	68	8
89	69	7
90	69	6
91	70	6
92	71	5
93	72	4
94	73	3
95	73	3
96	74	2
97	75	1
98	76	0
99	76	0
