iter	Passed	Remaining
0	138	138013
1	139	69392
2	139	46488
3	140	35042
4	141	28170
5	142	23576
6	143	20302
7	144	17857
8	144	15959
9	145	14425
10	146	13168
11	147	12122
12	148	11244
13	149	10517
14	150	9867
15	151	9295
16	151	8785
17	152	8329
18	153	7923
19	154	7570
20	155	7251
21	156	6960
22	157	6689
23	158	6437
24	159	6208
25	159	5992
26	160	5792
27	161	5611
28	162	5451
29	163	5290
30	164	5138
31	165	4993
32	165	4859
33	166	4733
34	167	4624
35	168	4519
36	169	4417
37	170	4320
38	171	4225
39	172	4138
40	173	4052
41	174	3969
42	174	3890
43	176	3827
44	177	3760
45	178	3692
46	179	3630
47	180	3571
48	181	3513
49	182	3459
50	183	3406
51	183	3351
52	184	3299
53	185	3248
54	186	3201
55	187	3154
56	187	3108
57	188	3065
58	189	3029
59	190	2988
60	191	2948
61	192	2909
62	193	2871
63	193	2836
64	194	2801
65	195	2770
66	196	2740
67	197	2709
68	198	2678
69	199	2647
70	200	2619
71	200	2589
72	201	2562
73	202	2538
74	203	2514
75	204	2489
76	205	2464
77	206	2440
78	207	2420
79	208	2399
80	210	2384
81	211	2370
82	212	2346
83	213	2326
84	214	2308
85	216	2302
86	221	2321
87	222	2306
88	223	2290
89	225	2277
90	226	2262
91	228	2250
92	229	2237
93	230	2221
94	231	2207
95	233	2196
96	234	2182
97	235	2167
98	236	2153
99	237	2138
100	238	2124
101	239	2111
102	240	2096
103	241	2082
104	242	2070
105	243	2057
106	244	2044
107	245	2031
108	247	2024
109	248	2012
110	249	1999
111	250	1987
112	251	1975
113	252	1964
114	253	1953
115	254	1941
116	256	1933
117	257	1924
118	258	1913
119	259	1905
120	262	1906
121	263	1895
122	264	1884
123	265	1874
124	266	1864
125	268	1859
126	269	1849
127	270	1839
128	271	1830
129	272	1821
130	273	1811
131	274	1802
132	275	1792
133	276	1784
134	277	1775
135	277	1765
136	278	1755
137	279	1746
138	280	1737
139	281	1728
140	282	1720
141	283	1711
142	284	1702
143	285	1694
144	285	1685
145	286	1677
146	287	1668
147	288	1660
148	289	1652
149	290	1645
150	291	1638
151	292	1630
152	293	1625
153	294	1617
154	295	1609
155	296	1605
156	297	1599
157	299	1594
158	300	1590
159	302	1585
160	302	1578
161	303	1571
162	304	1565
163	305	1558
164	306	1552
165	307	1546
166	308	1539
167	309	1534
168	311	1530
169	312	1524
170	313	1519
171	314	1513
172	315	1507
173	316	1501
174	317	1495
175	318	1490
176	319	1487
177	321	1483
178	322	1478
179	323	1473
180	324	1468
181	325	1463
182	326	1459
183	327	1454
184	329	1449
185	329	1444
186	330	1438
187	331	1433
188	333	1431
189	334	1425
190	335	1420
191	336	1415
192	337	1410
193	338	1405
194	339	1402
195	340	1397
196	341	1392
197	342	1387
198	343	1382
199	344	1378
200	345	1373
201	346	1370
202	348	1367
203	349	1362
204	350	1357
205	351	1354
206	352	1352
207	354	1351
208	355	1346
209	356	1342
210	357	1337
211	358	1332
212	359	1328
213	360	1325
214	362	1322
215	363	1318
216	364	1315
217	365	1312
218	366	1308
219	367	1304
220	369	1300
221	370	1298
222	371	1295
223	372	1290
224	373	1286
225	374	1282
226	375	1278
227	376	1275
228	377	1271
229	378	1267
230	379	1263
231	380	1258
232	381	1255
233	382	1252
234	383	1248
235	384	1244
236	385	1240
237	386	1237
238	387	1233
239	388	1229
240	389	1227
241	391	1225
242	392	1224
243	394	1220
244	394	1217
245	398	1219
246	399	1218
247	400	1215
248	401	1211
249	402	1208
250	403	1204
251	405	1202
252	406	1200
253	407	1197
254	408	1193
255	409	1190
256	410	1187
257	411	1183
258	412	1180
259	413	1176
260	414	1173
261	415	1169
262	416	1166
263	416	1162
264	417	1158
265	418	1155
266	419	1152
267	420	1148
268	421	1145
269	422	1141
270	423	1138
271	424	1135
272	425	1132
273	426	1128
274	426	1125
275	427	1121
276	428	1118
277	429	1114
278	430	1111
279	430	1108
280	431	1104
281	432	1101
282	433	1098
283	434	1095
284	435	1091
285	436	1088
286	436	1084
287	437	1081
288	438	1078
289	439	1075
290	440	1072
291	440	1069
292	441	1066
293	442	1063
294	443	1059
295	444	1056
296	445	1053
297	445	1050
298	446	1046
299	447	1044
300	448	1041
301	449	1038
302	450	1035
303	451	1032
304	451	1029
305	452	1026
306	453	1023
307	454	1020
308	455	1018
309	456	1015
310	456	1012
311	457	1008
312	458	1005
313	459	1002
314	459	999
315	460	997
316	461	994
317	462	991
318	463	989
319	464	986
320	464	983
321	465	980
322	466	977
323	467	974
324	467	971
325	468	969
326	469	967
327	470	964
328	471	961
329	472	958
330	473	956
331	474	954
332	475	951
333	475	948
334	476	946
335	477	943
336	478	941
337	479	938
338	480	936
339	480	933
340	481	930
341	482	928
342	483	925
343	484	923
344	485	920
345	486	918
346	486	916
347	487	913
348	488	911
349	489	908
350	489	905
351	490	903
352	491	901
353	492	899
354	493	897
355	494	894
356	495	892
357	496	890
358	497	888
359	498	886
360	499	883
361	500	881
362	500	879
363	501	876
364	502	874
365	503	872
366	504	870
367	505	868
368	506	866
369	507	864
370	508	862
371	509	859
372	510	857
373	511	855
374	512	853
375	512	851
376	513	848
377	514	846
378	515	844
379	516	841
380	516	839
381	517	837
382	518	835
383	519	833
384	520	830
385	521	829
386	522	827
387	523	825
388	523	822
389	524	820
390	525	818
391	526	816
392	527	814
393	528	812
394	528	810
395	529	807
396	530	805
397	531	803
398	532	801
399	533	800
400	534	798
401	535	796
402	536	794
403	537	792
404	538	790
405	539	788
406	540	786
407	541	785
408	542	783
409	543	781
410	543	779
411	545	777
412	546	776
413	546	774
414	547	772
415	548	770
416	549	768
417	550	766
418	551	764
419	552	762
